u_name,v_name,u_elements,v_elements,uv_result,vu_result,is_commutative,u_dimension,v_dimension,result_dimension
2D Unit Vector,2D Standard,"[1, 0]","[3, 4]","[4, 4]","[4, 4]",True,2,2,2
2D Unit Vector,3D Vector,"[1, 0]","[1, 2, 3]","[2, 2, 3]","[2, 2, 3]",True,2,3,3
2D Unit Vector,4D Vector,"[1, 0]","[2, 1, 4, 3]","[3, 1, 4, 3]","[3, 1, 4, 3]",True,2,4,4
2D Unit Vector,5D Zero Vector,"[1, 0]","[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",True,2,5,5
2D Unit Vector,3D Ones,"[1, 0]","[1, 1, 1]","[2, 1, 1]","[2, 1, 1]",True,2,3,3
2D Unit Vector,Large 2D,"[1, 0]","[10, 20]","[11, 20]","[11, 20]",True,2,2,2
2D Unit Vector,Uneven 3D,"[1, 0]","[7, 2, 9]","[8, 2, 9]","[8, 2, 9]",True,2,3,3
2D Unit Vector,Single Element,"[1, 0]",[5],"[6, 0]","[6, 0]",True,2,1,2
2D Unit Vector,6D Sequential,"[1, 0]","[1, 2, 3, 4, 5, 6]","[2, 2, 3, 4, 5, 6]","[2, 2, 3, 4, 5, 6]",True,2,6,6
2D Standard,2D Unit Vector,"[3, 4]","[1, 0]","[4, 4]","[4, 4]",True,2,2,2
2D Standard,3D Vector,"[3, 4]","[1, 2, 3]","[4, 6, 3]","[4, 6, 3]",True,2,3,3
2D Standard,4D Vector,"[3, 4]","[2, 1, 4, 3]","[5, 5, 4, 3]","[5, 5, 4, 3]",True,2,4,4
2D Standard,5D Zero Vector,"[3, 4]","[0, 0, 0, 0, 0]","[3, 4, 0, 0, 0]","[3, 4, 0, 0, 0]",True,2,5,5
2D Standard,3D Ones,"[3, 4]","[1, 1, 1]","[4, 5, 1]","[4, 5, 1]",True,2,3,3
2D Standard,Large 2D,"[3, 4]","[10, 20]","[13, 24]","[13, 24]",True,2,2,2
2D Standard,Uneven 3D,"[3, 4]","[7, 2, 9]","[10, 6, 9]","[10, 6, 9]",True,2,3,3
2D Standard,Single Element,"[3, 4]",[5],"[8, 4]","[8, 4]",True,2,1,2
2D Standard,6D Sequential,"[3, 4]","[1, 2, 3, 4, 5, 6]","[4, 6, 3, 4, 5, 6]","[4, 6, 3, 4, 5, 6]",True,2,6,6
3D Vector,2D Unit Vector,"[1, 2, 3]","[1, 0]","[2, 2, 3]","[2, 2, 3]",True,3,2,3
3D Vector,2D Standard,"[1, 2, 3]","[3, 4]","[4, 6, 3]","[4, 6, 3]",True,3,2,3
3D Vector,4D Vector,"[1, 2, 3]","[2, 1, 4, 3]","[3, 3, 7, 3]","[3, 3, 7, 3]",True,3,4,4
3D Vector,5D Zero Vector,"[1, 2, 3]","[0, 0, 0, 0, 0]","[1, 2, 3, 0, 0]","[1, 2, 3, 0, 0]",True,3,5,5
3D Vector,3D Ones,"[1, 2, 3]","[1, 1, 1]","[2, 3, 4]","[2, 3, 4]",True,3,3,3
3D Vector,Large 2D,"[1, 2, 3]","[10, 20]","[11, 22, 3]","[11, 22, 3]",True,3,2,3
3D Vector,Uneven 3D,"[1, 2, 3]","[7, 2, 9]","[8, 4, 12]","[8, 4, 12]",True,3,3,3
3D Vector,Single Element,"[1, 2, 3]",[5],"[6, 2, 3]","[6, 2, 3]",True,3,1,3
3D Vector,6D Sequential,"[1, 2, 3]","[1, 2, 3, 4, 5, 6]","[2, 4, 6, 4, 5, 6]","[2, 4, 6, 4, 5, 6]",True,3,6,6
4D Vector,2D Unit Vector,"[2, 1, 4, 3]","[1, 0]","[3, 1, 4, 3]","[3, 1, 4, 3]",True,4,2,4
4D Vector,2D Standard,"[2, 1, 4, 3]","[3, 4]","[5, 5, 4, 3]","[5, 5, 4, 3]",True,4,2,4
4D Vector,3D Vector,"[2, 1, 4, 3]","[1, 2, 3]","[3, 3, 7, 3]","[3, 3, 7, 3]",True,4,3,4
4D Vector,5D Zero Vector,"[2, 1, 4, 3]","[0, 0, 0, 0, 0]","[2, 1, 4, 3, 0]","[2, 1, 4, 3, 0]",True,4,5,5
4D Vector,3D Ones,"[2, 1, 4, 3]","[1, 1, 1]","[3, 2, 5, 3]","[3, 2, 5, 3]",True,4,3,4
4D Vector,Large 2D,"[2, 1, 4, 3]","[10, 20]","[12, 21, 4, 3]","[12, 21, 4, 3]",True,4,2,4
4D Vector,Uneven 3D,"[2, 1, 4, 3]","[7, 2, 9]","[9, 3, 13, 3]","[9, 3, 13, 3]",True,4,3,4
4D Vector,Single Element,"[2, 1, 4, 3]",[5],"[7, 1, 4, 3]","[7, 1, 4, 3]",True,4,1,4
4D Vector,6D Sequential,"[2, 1, 4, 3]","[1, 2, 3, 4, 5, 6]","[3, 3, 7, 7, 5, 6]","[3, 3, 7, 7, 5, 6]",True,4,6,6
5D Zero Vector,2D Unit Vector,"[0, 0, 0, 0, 0]","[1, 0]","[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0]",True,5,2,5
5D Zero Vector,2D Standard,"[0, 0, 0, 0, 0]","[3, 4]","[3, 4, 0, 0, 0]","[3, 4, 0, 0, 0]",True,5,2,5
5D Zero Vector,3D Vector,"[0, 0, 0, 0, 0]","[1, 2, 3]","[1, 2, 3, 0, 0]","[1, 2, 3, 0, 0]",True,5,3,5
5D Zero Vector,4D Vector,"[0, 0, 0, 0, 0]","[2, 1, 4, 3]","[2, 1, 4, 3, 0]","[2, 1, 4, 3, 0]",True,5,4,5
5D Zero Vector,3D Ones,"[0, 0, 0, 0, 0]","[1, 1, 1]","[1, 1, 1, 0, 0]","[1, 1, 1, 0, 0]",True,5,3,5
5D Zero Vector,Large 2D,"[0, 0, 0, 0, 0]","[10, 20]","[10, 20, 0, 0, 0]","[10, 20, 0, 0, 0]",True,5,2,5
5D Zero Vector,Uneven 3D,"[0, 0, 0, 0, 0]","[7, 2, 9]","[7, 2, 9, 0, 0]","[7, 2, 9, 0, 0]",True,5,3,5
5D Zero Vector,Single Element,"[0, 0, 0, 0, 0]",[5],"[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",True,5,1,5
5D Zero Vector,6D Sequential,"[0, 0, 0, 0, 0]","[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",True,5,6,6
3D Ones,2D Unit Vector,"[1, 1, 1]","[1, 0]","[2, 1, 1]","[2, 1, 1]",True,3,2,3
3D Ones,2D Standard,"[1, 1, 1]","[3, 4]","[4, 5, 1]","[4, 5, 1]",True,3,2,3
3D Ones,3D Vector,"[1, 1, 1]","[1, 2, 3]","[2, 3, 4]","[2, 3, 4]",True,3,3,3
3D Ones,4D Vector,"[1, 1, 1]","[2, 1, 4, 3]","[3, 2, 5, 3]","[3, 2, 5, 3]",True,3,4,4
3D Ones,5D Zero Vector,"[1, 1, 1]","[0, 0, 0, 0, 0]","[1, 1, 1, 0, 0]","[1, 1, 1, 0, 0]",True,3,5,5
3D Ones,Large 2D,"[1, 1, 1]","[10, 20]","[11, 21, 1]","[11, 21, 1]",True,3,2,3
3D Ones,Uneven 3D,"[1, 1, 1]","[7, 2, 9]","[8, 3, 10]","[8, 3, 10]",True,3,3,3
3D Ones,Single Element,"[1, 1, 1]",[5],"[6, 1, 1]","[6, 1, 1]",True,3,1,3
3D Ones,6D Sequential,"[1, 1, 1]","[1, 2, 3, 4, 5, 6]","[2, 3, 4, 4, 5, 6]","[2, 3, 4, 4, 5, 6]",True,3,6,6
Large 2D,2D Unit Vector,"[10, 20]","[1, 0]","[11, 20]","[11, 20]",True,2,2,2
Large 2D,2D Standard,"[10, 20]","[3, 4]","[13, 24]","[13, 24]",True,2,2,2
Large 2D,3D Vector,"[10, 20]","[1, 2, 3]","[11, 22, 3]","[11, 22, 3]",True,2,3,3
Large 2D,4D Vector,"[10, 20]","[2, 1, 4, 3]","[12, 21, 4, 3]","[12, 21, 4, 3]",True,2,4,4
Large 2D,5D Zero Vector,"[10, 20]","[0, 0, 0, 0, 0]","[10, 20, 0, 0, 0]","[10, 20, 0, 0, 0]",True,2,5,5
Large 2D,3D Ones,"[10, 20]","[1, 1, 1]","[11, 21, 1]","[11, 21, 1]",True,2,3,3
Large 2D,Uneven 3D,"[10, 20]","[7, 2, 9]","[17, 22, 9]","[17, 22, 9]",True,2,3,3
Large 2D,Single Element,"[10, 20]",[5],"[15, 20]","[15, 20]",True,2,1,2
Large 2D,6D Sequential,"[10, 20]","[1, 2, 3, 4, 5, 6]","[11, 22, 3, 4, 5, 6]","[11, 22, 3, 4, 5, 6]",True,2,6,6
Uneven 3D,2D Unit Vector,"[7, 2, 9]","[1, 0]","[8, 2, 9]","[8, 2, 9]",True,3,2,3
Uneven 3D,2D Standard,"[7, 2, 9]","[3, 4]","[10, 6, 9]","[10, 6, 9]",True,3,2,3
Uneven 3D,3D Vector,"[7, 2, 9]","[1, 2, 3]","[8, 4, 12]","[8, 4, 12]",True,3,3,3
Uneven 3D,4D Vector,"[7, 2, 9]","[2, 1, 4, 3]","[9, 3, 13, 3]","[9, 3, 13, 3]",True,3,4,4
Uneven 3D,5D Zero Vector,"[7, 2, 9]","[0, 0, 0, 0, 0]","[7, 2, 9, 0, 0]","[7, 2, 9, 0, 0]",True,3,5,5
Uneven 3D,3D Ones,"[7, 2, 9]","[1, 1, 1]","[8, 3, 10]","[8, 3, 10]",True,3,3,3
Uneven 3D,Large 2D,"[7, 2, 9]","[10, 20]","[17, 22, 9]","[17, 22, 9]",True,3,2,3
Uneven 3D,Single Element,"[7, 2, 9]",[5],"[12, 2, 9]","[12, 2, 9]",True,3,1,3
Uneven 3D,6D Sequential,"[7, 2, 9]","[1, 2, 3, 4, 5, 6]","[8, 4, 12, 4, 5, 6]","[8, 4, 12, 4, 5, 6]",True,3,6,6
Single Element,2D Unit Vector,[5],"[1, 0]","[6, 0]","[6, 0]",True,1,2,2
Single Element,2D Standard,[5],"[3, 4]","[8, 4]","[8, 4]",True,1,2,2
Single Element,3D Vector,[5],"[1, 2, 3]","[6, 2, 3]","[6, 2, 3]",True,1,3,3
Single Element,4D Vector,[5],"[2, 1, 4, 3]","[7, 1, 4, 3]","[7, 1, 4, 3]",True,1,4,4
Single Element,5D Zero Vector,[5],"[0, 0, 0, 0, 0]","[5, 0, 0, 0, 0]","[5, 0, 0, 0, 0]",True,1,5,5
Single Element,3D Ones,[5],"[1, 1, 1]","[6, 1, 1]","[6, 1, 1]",True,1,3,3
Single Element,Large 2D,[5],"[10, 20]","[15, 20]","[15, 20]",True,1,2,2
Single Element,Uneven 3D,[5],"[7, 2, 9]","[12, 2, 9]","[12, 2, 9]",True,1,3,3
Single Element,6D Sequential,[5],"[1, 2, 3, 4, 5, 6]","[6, 2, 3, 4, 5, 6]","[6, 2, 3, 4, 5, 6]",True,1,6,6
6D Sequential,2D Unit Vector,"[1, 2, 3, 4, 5, 6]","[1, 0]","[2, 2, 3, 4, 5, 6]","[2, 2, 3, 4, 5, 6]",True,6,2,6
6D Sequential,2D Standard,"[1, 2, 3, 4, 5, 6]","[3, 4]","[4, 6, 3, 4, 5, 6]","[4, 6, 3, 4, 5, 6]",True,6,2,6
6D Sequential,3D Vector,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]","[2, 4, 6, 4, 5, 6]","[2, 4, 6, 4, 5, 6]",True,6,3,6
6D Sequential,4D Vector,"[1, 2, 3, 4, 5, 6]","[2, 1, 4, 3]","[3, 3, 7, 7, 5, 6]","[3, 3, 7, 7, 5, 6]",True,6,4,6
6D Sequential,5D Zero Vector,"[1, 2, 3, 4, 5, 6]","[0, 0, 0, 0, 0]","[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",True,6,5,6
6D Sequential,3D Ones,"[1, 2, 3, 4, 5, 6]","[1, 1, 1]","[2, 3, 4, 4, 5, 6]","[2, 3, 4, 4, 5, 6]",True,6,3,6
6D Sequential,Large 2D,"[1, 2, 3, 4, 5, 6]","[10, 20]","[11, 22, 3, 4, 5, 6]","[11, 22, 3, 4, 5, 6]",True,6,2,6
6D Sequential,Uneven 3D,"[1, 2, 3, 4, 5, 6]","[7, 2, 9]","[8, 4, 12, 4, 5, 6]","[8, 4, 12, 4, 5, 6]",True,6,3,6
6D Sequential,Single Element,"[1, 2, 3, 4, 5, 6]",[5],"[6, 2, 3, 4, 5, 6]","[6, 2, 3, 4, 5, 6]",True,6,1,6
